,label,word,count
2723,Akhilesh Yadav,will,155
206,Akhilesh Yadav,amp,106
1806,Akhilesh Yadav,party,56
1828,Akhilesh Yadav,people,50
1261,Akhilesh Yadav,india,46
2661,Akhilesh Yadav,vote,45
2196,Akhilesh Yadav,seats,44
381,Akhilesh Yadav,bjp,43
797,Akhilesh Yadav,dont,43
1723,Akhilesh Yadav,now,42
4253,Arvind Kejriwal,delhi,258
8023,Arvind Kejriwal,will,254
7761,Arvind Kejriwal,u,197
7916,Arvind Kejriwal,vote,158
3220,Arvind Kejriwal,amp,147
6417,Arvind Kejriwal,people,123
6221,Arvind Kejriwal,now,122
3578,Arvind Kejriwal,bjp,100
6385,Arvind Kejriwal,party,99
3031,Arvind Kejriwal,aap,97
9910,Mayawati,will,48
8372,Mayawati,amp,46
8490,Mayawati,bjp,34
9285,Mayawati,now,32
8517,Mayawati,bsp,27
9210,Mayawati,modi,26
9340,Mayawati,party,25
8493,Mayawati,bjpcongress,24
8633,Mayawati,contest,21
8643,Mayawati,country,21
31882,Narendra Modi,will,3381
11870,Narendra Modi,amp,2588
25454,Narendra Modi,pm,2216
31491,Narendra Modi,vote,2164
20374,Narendra Modi,india,2136
21146,Narendra Modi,ji,1857
25138,Narendra Modi,people,1441
23391,Narendra Modi,modi,1292
28549,Narendra Modi,sir,1230
30700,Narendra Modi,u,1137
35830,Priyanka Gandhi,will,139
33024,Priyanka Gandhi,amp,85
33453,Priyanka Gandhi,congress,61
34838,Priyanka Gandhi,people,61
35671,Priyanka Gandhi,u,57
33680,Priyanka Gandhi,dont,44
34814,Priyanka Gandhi,party,44
33848,Priyanka Gandhi,family,41
34755,Priyanka Gandhi,one,41
34616,Priyanka Gandhi,modi,38
51872,Rahul Gandhi,will,2047
37241,Rahul Gandhi,amp,1398
51055,Rahul Gandhi,u,951
39584,Rahul Gandhi,congress,909
43511,Rahul Gandhi,india,868
46903,Rahul Gandhi,people,737
46773,Rahul Gandhi,party,648
47130,Rahul Gandhi,pm,622
46253,Rahul Gandhi,now,607
40859,Rahul Gandhi,dont,592
